;segment;name;time_of_day;location;weather;TYPE_VEHICLE_LASER;TYPE_SIGN_LASER;TYPE_VEHICLE_CAMERA;TYPE_PEDESTRIAN_CAMERA;TYPE_PEDESTRIAN_LASER;TYPE_CYCLIST_CAMERA;TYPE_CYCLIST_LASER
0;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;7.0;9.0;7.0;;;;
1;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;7.0;9.0;7.0;;;;
2;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;7.0;10.0;8.0;;;;
3;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;7.0;10.0;9.0;;;;
4;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;9.0;10.0;10.0;;;;
5;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;9.0;10.0;10.0;;;;
6;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;9.0;10.0;11.0;;;;
7;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;9.0;10.0;13.0;;;;
8;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;9.0;10.0;14.0;;;;
9;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;8.0;10.0;15.0;;;;
10;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;9.0;10.0;16.0;;;;
11;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;9.0;10.0;16.0;;;;
12;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;10.0;10.0;16.0;;;;
13;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;10.0;10.0;15.0;;;;
14;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;11.0;10.0;14.0;;;;
15;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;11.0;11.0;11.0;;;;
16;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;12.0;11.0;10.0;;;;
17;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;12.0;11.0;10.0;;;;
18;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;13.0;11.0;11.0;;;;
19;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;14.0;11.0;17.0;;;;
20;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;14.0;11.0;20.0;;;;
21;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;19.0;12.0;24.0;;;;
22;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;20.0;11.0;23.0;;;;
23;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;20.0;11.0;18.0;;;;
24;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;20.0;11.0;17.0;;;;
25;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;20.0;11.0;18.0;;;;
26;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;21.0;11.0;16.0;;;;
27;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;21.0;11.0;15.0;;;;
